Quantity 1,Description,Customer Part No.,Mouser Part Number
14,4.7k 1210,CBPN-5Z102-47k,71-CRCW12104K70FKEAH
8,1k 1210,CBPN-F0NOB-1k,603-RC1210FR-071KL
16,UCM1H101MCL1GS,UCM1H101MCL1GS,UCM1H101MCL1GS
2,MCP2515-e_ST,MCP2515-e_ST,MCP2515-e_ST
8,TCMT1100,TCMT1100,TCMT1100
1,R-78K3.3-1.0,R-78K3.3-1.0,R-78K3.3-1.0
8,100nF 100V,CBPN-JMGYO-100nF,80-C1210C104K1RAC
2,ISO1042BDWVR,ISO1042BDWVR,ISO1042BDWVR
2,ACT45B-101-2P-TL003,ACT45B-101-2P-TL003,ACT45B-101-2P-TL003
2,SIHFR120-GE3,SIHFR120-GE3,SIHFR120-GE3
4,120 1210,CBPN-K6UIE-120,603-AC1210FR-07120RL
2,RKE-1205S_H,RKE-1205S_H,RKE-1205S_H
1,TBP01R1-508-08BE,TBP01R1-508-08BE,TBP01R1-508-08BE
2,8mhz hc49-4h crystal,CBPN-QQUPE-8mhz,710-830003156B
2,TBP01R2-508-04BE,TBP01R2-508-04BE,TBP01R2-508-04BE
2,BTS462TATMA1,BTS462TATMA1,BTS462TATMA1
1,TBP01R2-508-06BE,TBP01R2-508-06BE,TBP01R2-508-06BE
10,22pF 50V,CBPN-XGV7B-22pF,80-C1210C220J5G
1,SCW20A-12,SCW20A-12,SCW20A-12
8,10uF 25V,CBPN-Z2OBH-10uF,187-CL32A106KAULNNE
4,SM6T15A,SM6T15A,SM6T15A
