"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R15,R1,R6,R10,R8,R14,R3,R13,R25,R17,R18,R20,R26,R21";"R_1210_3225Metric_Pad1.30x2.65mm_HandSolder";14;"4.7k";;;
2;"A1";"RaspberryPi_Pico_Common_Unspecified";1;"RaspberryPi_Pico";;;
3;"R24,R11,R5,R16,R7,R19,R9,R12";"R_1210_3225Metric_Pad1.30x2.65mm_HandSolder";8;"1k";;;
4;"C42,C38,C28,C41,C33,C30,C34,C37,C27,C31,C29,C32,C35,C40,C39,C36";"CAPAE660X800N";16;"UCM1H101MCL1GS";;;
5;"IC1,IC3";"SOP65P640X120-20N";2;"MCP2515-e_ST";;;
6;"U7,U1,U4,U2,U9,U3,U6,U11";"SOP-4_4.4x2.6mm_P1.27mm";8;"TCMT1100";;;
7;"PS4";"R78K3310";1;"R-78K3.3-1.0";;;
8;"C14,C1,C20,C7,C8,C10,C23,C21";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";8;"100nF";;;
9;"IC2,IC4";"SOIC127P1150X280-8N";2;"ISO1042BDWVR";;;
10;"FL2,FL1";"ACT45B1012PTL003";2;"ACT45B-101-2P-TL003";;;
11;"Q1,Q2";"SIHFR120GE3";2;"SIHFR120-GE3";;;
12;"R22,R23,R2,R4";"R_1210_3225Metric_Pad1.30x2.65mm_HandSolder";4;"120";;;
13;"PS3,PS2";"RKE1205SH";2;"RKE-1205S_H";;;
14;"J3";"SHDR8W100P0X508_1X8_4224X1200X890P";1;"TBP01R1-508-08BE";;;
15;"Y1,Y2";"Crystal_HC49-4H_Vertical";2;"8MHz";;;
16;"J4,J5";"SHDR4W100P0X508_1X4_2192X850X1200P";2;"TBP01R2-508-04BE";;;
17;"U12,U5";"TO-252-4";2;"BTS462TATMA1";;;
18;"J2";"TBP01R250806BE";1;"TBP01R2-508-06BE";;;
19;"C26,C13,C2,C11,C6,C15,C19,C12,C24,C25";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";10;"22pF";;;
20;"PS1";"SCW20A12";1;"SCW20A-12";;;
21;"C18,C4,C5,C16,C17,C22,C3,C9";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";8;"10uF";;;
22;"D3,D4,D1,D2";"D_SMB";4;"SM6T15A";;;
